query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
bisque4,TRUE,0.00481458051279618,20,10,2,0.2,0.1,TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP,genesets_ewing_sarcoma,> Top 20 up-regulated genes in leukemic progenitor cells expressing activated fusion of ESWR1 and FLI1 [GeneID=2130, 2313] compared to normal hematopoetic progenitors.,3899,22,list()
black,TRUE,9.83050812207319e-05,29,532,13,0.0244360902255639,0.448275862068966,KEGG_LINOLEIC_ACID_METABOLISM,c2.cp.kegg.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_LINOLEIC_ACID_METABOLISM,5245,11,list()
black,TRUE,0.0153616997857188,38,532,12,0.0225563909774436,0.315789473684211,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,c2.cp.kegg.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,5245,23,list()
black,TRUE,6.70515539769796e-06,629,1070,105,0.0981308411214953,0.166931637519873,REACTOME_MEMBRANE_TRAFFICKING,c2.cp.reactome.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_MEMBRANE_TRAFFICKING,10968,377,list()
black,TRUE,0.00664714370115745,724,1070,105,0.0981308411214953,0.145027624309392,REACTOME_VESICLE_MEDIATED_TRANSPORT,c2.cp.reactome.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_VESICLE_MEDIATED_TRANSPORT,10968,941,list()
black,TRUE,0.0170659200833477,49,1070,15,0.014018691588785,0.306122448979592,REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,c2.cp.reactome.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK,10968,1093,list()
black,TRUE,0.0203013377521483,6,1070,5,0.00467289719626168,0.833333333333333,REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,c2.cp.reactome.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,10968,1427,list()
black,TRUE,0.0223700934438003,145,1070,30,0.0280373831775701,0.206896551724138,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,c2.cp.reactome.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,10968,1251,list()
black,TRUE,0.00227300468695491,1772,1815,226,0.124517906336088,0.127539503386005,GOCC_ORGANELLE_SUBCOMPARTMENT,c5.go.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/GOCC_ORGANELLE_SUBCOMPARTMENT,19255,7940,list()
black,TRUE,0.00280370214999172,105,1815,27,0.0148760330578512,0.257142857142857,GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,c5.go.v7.4.symbols,http://www.gsea-msigdb.org/gsea/msigdb/cards/GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,19255,950,list()
